contig-100_0_0,K09933
contig-100_1_1141,K01953
contig-100_1_1142,K02566
contig-100_1_1143,K02565
contig-100_1_1144,K01443
contig-100_1_1145,K02564
contig-100_1_1146,K02804
contig-100_1_1147,K01886
contig-100_1_1148,
contig-100_1_1149,
contig-100_1_1150,K03288
contig-100_1_1151,K13795
contig-100_1_1152,K13796
contig-100_1_1153,K13794
contig-100_1_1154,K03711
contig-100_1_1155,K03839
contig-100_1_1156,
contig-100_1_1157,K01175
contig-100_1_1158,K03645
contig-100_1_1159,K01835
contig-100_1_1160,K07667
contig-100_1_1161,K07646
contig-100_1_1162,K01548
contig-100_1_1163,K01547
contig-100_1_1164,K01546
contig-100_1_1165,
contig-100_1_1166,
contig-100_1_1167,K01669
contig-100_1_1168,K03305
contig-100_1_1169,
contig-100_1_1170,K23123
contig-100_1_1171,K23124
contig-100_1_1172,K07160
contig-100_1_1173,
contig-100_1_1174,
contig-100_1_1175,K01304
contig-100_1_1176,K05522
contig-100_1_1177,K07120
contig-100_1_1178,K01647
contig-100_1_1179,K00241
contig-100_1_1180,K00242
contig-100_1_1181,K00239
contig-100_1_1182,K00240
contig-100_1_1183,K00164
contig-100_1_1184,K00658
contig-100_1_1185,K01903
contig-100_1_1186,K01902
contig-100_1_1187,
contig-100_1_1188,
contig-100_1_1189,K03453
contig-100_1_1190,K18013
contig-100_1_1191,K22131
contig-100_1_1192,
contig-100_1_1193,K22130
contig-100_1_1194,K21948
contig-100_1_1195,
contig-100_1_1196,K02303
contig-100_1_1197,
contig-100_1_1198,K19221
contig-100_1_1199,K01676
contig-100_1_1200,K01425
contig-100_1_1201,
contig-100_1_1202,
contig-100_1_1203,
contig-100_1_1204,K04835
contig-100_1_1205,K19268
contig-100_1_1206,
contig-100_1_1207,K01846
contig-100_1_1208,K00425
contig-100_1_1209,K00426
contig-100_1_1210,K00424
contig-100_1_1211,
contig-100_1_1212,K07107
contig-100_1_1213,K03562
contig-100_1_1214,K03560
contig-100_1_1215,K03646
contig-100_1_1216,K03641
contig-100_1_1217,K03640
contig-100_1_1218,
contig-100_1_1219,K03517
contig-100_1_1220,K03811
contig-100_1_1221,K16264
contig-100_1_1222,
contig-100_1_1223,K01626
contig-100_1_1224,K01834
contig-100_1_1225,K01785
contig-100_1_1226,K00849
contig-100_1_1227,K00965
contig-100_1_1228,K01784
contig-100_1_1229,K05776
contig-100_1_1230,K02019
contig-100_1_1231,
contig-100_1_1232,K02020
contig-100_1_1233,K02018
contig-100_1_1234,K02017
contig-100_1_1235,
contig-100_1_1236,K07404
contig-100_1_1237,
contig-100_1_1238,
contig-100_1_1239,K03319
contig-100_1_1240,K01681
contig-100_1_1241,K01051
contig-100_1_1242,K01468
contig-100_1_1243,K01479
contig-100_1_1244,K05836
contig-100_1_1245,K01712
contig-100_1_1246,K01745
contig-100_1_1247,
contig-100_1_1248,K00833
contig-100_1_1249,K01012
contig-100_1_1250,K00652
contig-100_1_1251,K02169
contig-100_1_1252,K01935
contig-100_1_1253,K11963
contig-100_1_1254,K03702
contig-100_1_1255,
contig-100_1_1256,K03639
contig-100_1_1257,K03638
contig-100_1_1258,K03637
contig-100_1_1259,K03636
contig-100_1_1260,K03635
contig-100_1_1261,K06890
contig-100_1_1262,K07027
contig-100_1_1263,K06131
contig-100_1_1264,
contig-100_1_1265,
contig-100_1_1266,K01992
contig-100_1_1267,K01992
contig-100_1_1268,K01990
contig-100_1_1269,K01993
contig-100_1_1270,K23777
contig-100_1_1271,K11927
contig-100_1_1272,
contig-100_1_1273,K01857
contig-100_1_1274,K03319
contig-100_1_1275,K03722
contig-100_1_1276,
contig-100_1_1277,K13574
contig-100_1_1278,
contig-100_1_1279,
contig-100_1_1280,K07336
contig-100_1_1281,K16090
contig-100_1_1282,K13650
contig-100_1_1283,K06970
contig-100_1_1284,K22044
contig-100_1_1285,K10038
contig-100_1_1286,K10037
contig-100_1_1287,K10036
contig-100_1_1288,K04047
contig-100_1_1289,K11939
contig-100_1_1290,K11934
contig-100_1_1291,
contig-100_1_1292,
contig-100_1_1293,K11924
contig-100_1_1294,
contig-100_1_1295,K19235
contig-100_1_1296,
contig-100_1_1297,
contig-100_1_1298,K07757
contig-100_1_1299,K00656
contig-100_1_1300,K04069
contig-100_1_1301,K08313
contig-100_1_1302,K21029
contig-100_1_1303,K03750
contig-100_1_1304,K00984
contig-100_1_1305,K13051
contig-100_1_1306,K13892
contig-100_1_1307,K13889
contig-100_1_1308,K13890
contig-100_1_1309,K13891
contig-100_1_1310,
contig-100_1_1311,K14441
contig-100_1_1312,
contig-100_1_1313,K00688
contig-100_1_1314,
contig-100_1_1315,K19688
contig-100_1_1316,K21430
contig-100_1_1317,K00799
contig-100_1_1318,K07258
contig-100_1_1319,K11534
contig-100_1_1320,K19302
contig-100_1_1321,K08160
contig-100_1_1322,
contig-100_1_1323,K20861
contig-100_1_1324,
contig-100_1_1325,K23778
contig-100_1_1326,
contig-100_1_1327,K07085
contig-100_1_1328,
contig-100_1_1329,K03674
contig-100_1_1330,
contig-100_1_1331,K10678
contig-100_1_1332,K05844
contig-100_1_1333,
contig-100_1_1334,K11073
contig-100_1_1335,K11076
contig-100_1_1336,K11075
contig-100_1_1337,K11074
contig-100_1_1338,
contig-100_1_1339,K03212
contig-100_2_1340,K00971
contig-100_2_1341,K12995
contig-100_2_1342,
contig-100_2_1343,K00963
contig-100_2_1344,K16711
contig-100_2_1345,K16703
contig-100_2_1346,K16710
contig-100_2_1347,K16695
contig-100_2_1348,K03606
contig-100_2_1349,K01840
contig-100_2_1350,K00971
contig-100_2_1351,K03208
contig-100_2_1352,K03207
contig-100_2_1353,K02377
contig-100_2_1354,K01711
contig-100_2_1355,K03818
contig-100_2_1356,K13683
contig-100_2_1357,K13620
contig-100_2_1358,K13684
contig-100_2_1359,K03819
contig-100_2_1360,
contig-100_2_1361,K16692
contig-100_2_1362,K01104
contig-100_2_1363,K01991
contig-100_2_1364,
contig-100_2_1365,K07289
contig-100_2_1366,K01494
contig-100_2_1367,K00876
contig-100_2_1368,K21084
contig-100_2_1369,K01247
contig-100_2_1370,K04046
contig-100_2_1371,K07799
contig-100_2_1372,K07788
contig-100_2_1373,K07789
contig-100_2_1374,K18326
contig-100_2_1375,K07642
contig-100_2_1376,K07664
contig-100_2_1377,K09946
contig-100_2_1378,K08303
contig-100_2_1379,K03694
contig-100_2_1380,K06891
contig-100_2_1381,K03704
contig-100_2_1382,K05685
contig-100_2_1383,K13888
contig-100_2_1384,K09824
contig-100_2_1385,K07459
contig-100_2_1386,K06188
contig-100_2_1387,
contig-100_2_1388,K05601
contig-100_2_1389,K11933
contig-100_2_1390,
contig-100_2_1391,K15977
contig-100_2_1392,K00156
contig-100_2_1393,K01620
contig-100_2_1394,
contig-100_2_1395,
contig-100_2_1396,K11066
contig-100_2_1397,
contig-100_2_1398,K03704
contig-100_2_1399,
contig-100_2_1400,
contig-100_2_1401,K10000
contig-100_2_1402,K09997
contig-100_2_1403,K09999
contig-100_2_1404,K09998
contig-100_2_1405,K09996
contig-100_2_1406,
contig-100_2_1407,K11645
contig-100_2_1408,
contig-100_2_1409,
contig-100_2_1410,
contig-100_2_1411,
contig-100_2_1412,
contig-100_2_1413,K00941
contig-100_2_1414,K00878
contig-100_2_1415,K23243
contig-100_2_1416,
contig-100_2_1417,K07347
contig-100_2_1418,
contig-100_2_1419,
contig-100_2_1420,
contig-100_2_1421,K03593
contig-100_2_1422,K01874
contig-100_2_1423,
contig-100_2_1424,
contig-100_2_1425,K02477
contig-100_2_1426,K02478
contig-100_2_1427,K21089
contig-100_2_1428,
contig-100_2_1429,K05846
contig-100_2_1430,K05847
contig-100_2_1431,K05846
contig-100_2_1432,K05845
contig-100_2_1433,K05349
contig-100_2_1434,K03777
contig-100_2_1435,K07262
contig-100_2_1436,
contig-100_2_1437,
contig-100_2_1438,
contig-100_2_1439,
contig-100_2_1440,K05541
contig-100_2_1441,K22270
contig-100_2_1442,K01801
contig-100_2_1443,K16165
contig-100_2_1444,K00450
contig-100_2_1445,K08195
contig-100_2_1446,
contig-100_2_1447,K06518
contig-100_2_1448,
contig-100_2_1449,K01489
contig-100_2_1450,K03748
contig-100_2_1451,
contig-100_2_1452,K10541
contig-100_2_1453,K10542
contig-100_2_1454,K10540
contig-100_2_1455,K02529
contig-100_2_1456,K07148
contig-100_2_1457,K01495
contig-100_2_1458,K01070
contig-100_2_1459,
contig-100_2_1460,K01752
contig-100_2_1461,K01079
contig-100_2_1462,K07783
contig-100_2_1463,K16089
contig-100_2_1464,K11733
contig-100_2_1465,
contig-100_2_1466,
contig-100_2_1467,K01151
contig-100_2_1468,K21645
contig-100_2_1469,
contig-100_2_1470,K01779
contig-100_2_1471,K07791
contig-100_2_1472,K02770
contig-100_2_1473,K00882
contig-100_2_1474,K11183
contig-100_2_1475,K03291
contig-100_2_1476,K02356
contig-100_2_1477,K03533
contig-100_2_1478,K07811
contig-100_2_1479,K03532
contig-100_2_1480,K00375
contig-100_2_1481,K01686
contig-100_2_1482,
contig-100_2_1483,
contig-100_2_1484,K19803
contig-100_2_1485,K13694
contig-100_2_1486,
contig-100_2_1487,K13893
contig-100_2_1488,K13894
contig-100_2_1489,K13895
contig-100_2_1490,K13896
contig-100_2_1491,
contig-100_2_1492,K07552
contig-100_2_1493,K06183
contig-100_2_1494,K19789
contig-100_2_1495,K02897
contig-100_2_1496,
contig-100_2_1497,K06899
contig-100_2_1498,K09904
contig-100_2_1499,K07014
contig-100_2_1500,K07685
contig-100_2_1501,K02200
contig-100_2_1502,K02199
contig-100_2_1503,K02198
contig-100_2_1504,K02197
contig-100_2_1505,K02196
contig-100_2_1506,K02195
contig-100_2_1507,K02194
contig-100_2_1508,K02193
contig-100_2_1509,K02569
contig-100_2_1510,K02568
contig-100_2_1511,K02574
contig-100_2_1512,K02573
contig-100_2_1513,K02567
contig-100_2_1514,K02570
contig-100_2_1515,K02572
contig-100_2_1516,K08276
contig-100_2_1517,K00116
contig-100_2_1518,K03321
contig-100_2_1519,K06213
contig-100_2_1520,K06159
contig-100_2_1521,K03919
contig-100_2_1522,K10778
contig-100_2_1523,K03734
contig-100_2_1524,K09475
contig-100_2_1525,K07676
contig-100_2_1526,K07687
contig-100_2_1527,K07677
contig-100_2_1528,
contig-100_2_1529,
contig-100_2_1530,K02782
contig-100_2_1531,K02781
contig-100_2_1532,K02783
contig-100_2_1533,K02469
contig-100_2_1534,K00568
contig-100_2_1535,K00525
contig-100_2_1536,K00526
contig-100_2_1537,K11107
contig-100_2_1538,
contig-100_2_1539,
contig-100_2_1540,K01126
contig-100_2_1541,K02445
contig-100_2_1542,K00111
contig-100_2_1543,K00112
contig-100_2_1544,K00113
contig-100_2_1545,
contig-100_2_1546,
contig-100_2_1547,
contig-100_2_1548,K12944
contig-100_2_1549,K07806
contig-100_2_1550,K10012
contig-100_2_1551,K10011
contig-100_2_1552,K13014
contig-100_2_1553,K07264
contig-100_2_1554,K12962
contig-100_2_1555,K12963
contig-100_2_1556,
contig-100_2_1557,K01911
contig-100_2_1558,K02549
contig-100_2_1559,K01661
contig-100_2_1560,K08680
contig-100_2_1561,K02551
contig-100_2_1562,K02552
contig-100_2_1563,K05594
contig-100_2_1564,K02348
contig-100_2_1565,K00784
contig-100_2_1566,K03415
contig-100_2_1567,K00343
contig-100_2_1568,K00342
contig-100_2_1569,K00341
contig-100_2_1570,K00340
contig-100_2_1571,K00339
contig-100_2_1572,K00338
contig-100_2_1573,K00337
contig-100_2_1574,K00336
contig-100_2_1575,K00335
contig-100_2_1576,K00334
contig-100_2_1577,K13378
contig-100_2_1578,K00331
contig-100_2_1579,K00330
contig-100_2_1580,
contig-100_2_1581,K14260
contig-100_2_1582,K08722
contig-100_2_1583,
contig-100_2_1584,K19270
contig-100_2_1585,K09161
contig-100_2_1586,K09899
contig-100_2_1587,K00925
contig-100_2_1588,K13788
contig-100_2_1589,
contig-100_2_1590,
contig-100_2_1591,K07095
contig-100_2_1592,K00799
contig-100_2_1593,K11209
contig-100_2_1594,K07589
contig-100_2_1595,K07071
contig-100_2_1596,
contig-100_2_1597,K10017
contig-100_2_1598,K10015
contig-100_2_1599,K10016
contig-100_2_1600,K10014
contig-100_2_1601,K10013
contig-100_2_1602,K03186
contig-100_2_1603,K00764
contig-100_2_1604,K03558
contig-100_2_1605,K03749
contig-100_2_1606,K11754
contig-100_2_1607,K01963
contig-100_2_1608,K03975
contig-100_2_1609,K06173
contig-100_2_1610,
contig-100_2_1611,K03473
contig-100_2_1612,
contig-100_2_1613,
contig-100_2_1614,K00647
contig-100_2_1615,K15461
contig-100_2_1616,
contig-100_2_1617,K09906
contig-100_2_1618,K07090
contig-100_2_1619,K07261
contig-100_2_1620,K01736
contig-100_2_1621,K07320
contig-100_2_1622,
contig-100_2_1623,K08296
contig-100_2_1624,K01782
contig-100_2_1625,K00632
contig-100_2_1626,
contig-100_2_1627,K06076
contig-100_2_1628,K04754
contig-100_2_1629,K21990
contig-100_2_1630,
contig-100_2_1631,K14060
contig-100_2_1632,
contig-100_2_1633,
contig-100_2_1634,
contig-100_2_1635,
contig-100_2_1636,
contig-100_2_1637,K09912
contig-100_2_1638,K08476
contig-100_2_1639,K08475
contig-100_2_1640,K08478
contig-100_2_1641,K11382
contig-100_2_1642,
contig-100_2_1643,K12974
contig-100_2_1644,
contig-100_2_1645,K14261
contig-100_2_1646,K02478
contig-100_2_1647,K02477
contig-100_2_1648,
contig-100_2_1649,K00845
contig-100_2_1650,
contig-100_2_1651,K04103
contig-100_2_1652,K19265
contig-100_2_1653,
contig-100_2_1654,K03322
contig-100_2_1655,K11535
contig-100_2_1656,
contig-100_2_1657,
contig-100_2_1658,K01885
contig-100_2_1659,
contig-100_2_1660,K11537
contig-100_2_1661,K03815
contig-100_2_1662,
contig-100_2_1663,
contig-100_2_1664,
contig-100_2_1665,
contig-100_2_1666,
contig-100_2_1667,K14347
contig-100_2_1668,K09954
contig-100_2_1669,K01972
contig-100_2_1670,K03528
contig-100_2_1671,K06203
contig-100_2_1672,K01738
contig-100_2_1673,K02784
contig-100_2_1674,K08483
contig-100_2_1675,K02777
contig-100_2_1676,
contig-100_2_1677,K00868
contig-100_2_1678,
contig-100_2_1679,K01951
contig-100_2_1680,K12339
contig-100_2_1681,K02045
contig-100_2_1682,K02047
contig-100_2_1683,K02046
contig-100_2_1684,K02048
contig-100_2_1685,
contig-100_2_1686,K07223
contig-100_2_1687,
contig-100_2_1688,
contig-100_2_1689,
contig-100_2_1690,K01448
contig-100_2_1691,K00228
contig-100_2_1692,K04033
contig-100_2_1693,K04025
contig-100_2_1694,K04026
contig-100_2_1695,K03736
contig-100_2_1696,K03735
contig-100_2_1697,K04019
contig-100_2_1698,K04023
contig-100_2_1699,K04022
contig-100_2_1700,K04024
contig-100_2_1701,K04021
contig-100_2_1702,K04028
contig-100_2_1703,K04027
contig-100_2_1704,K04020
contig-100_2_1705,K04032
contig-100_2_1706,K04030
contig-100_2_1707,K04029
contig-100_2_1708,K04031
contig-100_2_1709,K00029
contig-100_2_1710,K00615
contig-100_2_1711,
contig-100_2_1712,K12945
contig-100_2_1713,
contig-100_2_1714,K07674
contig-100_2_1715,K18324
contig-100_2_1716,
contig-100_2_1717,K01439
contig-100_2_1718,
contig-100_2_1719,K06999
contig-100_2_1720,K06957
contig-100_2_1721,K07054
contig-100_2_1722,K01923
contig-100_2_1723,K07287
contig-100_2_1724,K01714
contig-100_2_1725,K03567
contig-100_2_1726,K03564
contig-100_2_1727,K01305
contig-100_2_1728,
contig-100_2_1729,
contig-100_2_1730,
contig-100_2_1731,K03548
contig-100_2_1732,K01423
contig-100_2_1733,K00537
contig-100_2_1734,K10763
contig-100_2_1735,K02824
contig-100_2_1736,K00761
contig-100_2_1737,K01223
contig-100_2_1738,K01933
contig-100_2_1739,K11175
contig-100_2_1740,K00937
contig-100_2_1741,K01524
contig-100_2_1742,
contig-100_2_1743,
contig-100_2_1744,K03442
contig-100_2_1745,K01951
contig-100_2_1746,K00088
contig-100_2_1747,K03601
contig-100_2_1748,
contig-100_2_1749,
contig-100_2_1750,K13735
contig-100_2_1751,
contig-100_2_1752,K03305
contig-100_2_1753,K03977
contig-100_2_1754,K17713
contig-100_2_1755,
contig-100_2_1756,K01892
contig-100_2_1757,K03526
contig-100_2_1758,K15539
contig-100_2_1759,K06941
contig-100_2_1760,K00940
contig-100_2_1761,K05367
contig-100_2_1762,K06894
contig-100_2_1763,K01011
contig-100_2_1764,
contig-100_2_1765,K07751
contig-100_2_1766,
contig-100_2_1767,K04755
contig-100_2_1768,K04044
contig-100_2_1769,K04082
contig-100_2_1770,K13628
contig-100_2_1771,K04488
contig-100_2_1772,K04487
contig-100_2_1773,K13643
contig-100_2_1774,K15396
contig-100_2_1775,K01092
contig-100_2_1776,K08970
contig-100_2_1777,
contig-100_2_1778,K02058
contig-100_2_1779,K02056
contig-100_2_1780,K02057
contig-100_2_1781,K02057
contig-100_2_1782,
contig-100_2_1783,
contig-100_2_1784,
contig-100_2_1785,K05820
contig-100_2_1786,K01785
contig-100_2_1787,K08138
contig-100_2_1788,
contig-100_2_1789,
contig-100_2_1790,K05817
contig-100_2_1791,K05708
contig-100_2_1792,K05709
contig-100_2_1793,K05710
contig-100_2_1794,K05711
contig-100_2_1795,K00529
contig-100_2_1796,K00600
contig-100_2_1797,K05916
contig-100_2_1798,K04751
contig-100_2_1799,K07715
contig-100_2_1800,
contig-100_2_1801,K07711
contig-100_2_1802,K01952
contig-100_2_1803,K18691
contig-100_2_1804,K11991
contig-100_2_1805,K18697
contig-100_2_1806,K02810
contig-100_2_1807,K07106
contig-100_2_1808,
contig-100_2_1809,
contig-100_2_1810,K00997
contig-100_2_1811,K03474
contig-100_2_1812,K03584
contig-100_2_1813,K03595
contig-100_2_1814,K03685
contig-100_2_1815,K03100
contig-100_2_1816,K03596
contig-100_2_1817,K03803
contig-100_2_1818,K03598
contig-100_2_1819,K03597
contig-100_2_1820,K03088
contig-100_2_1821,K00278
contig-100_2_1822,K15460
contig-100_2_1823,K05590
contig-100_2_1824,
contig-100_2_1825,K11249
contig-100_2_1826,K06866
contig-100_2_1827,K03648
contig-100_2_1828,K03214
contig-100_2_1829,K03672
contig-100_2_1830,K05812
contig-100_2_1831,K09181
contig-100_2_1832,K00998
contig-100_2_1833,K05811
contig-100_2_1834,K03761
contig-100_3_1835,K02355
contig-100_3_1836,K02992
contig-100_3_1837,K02950
contig-100_3_1838,K07237
contig-100_3_1839,K07236
contig-100_3_1840,K07235
contig-100_3_1841,
contig-100_3_1842,K03772
contig-100_3_1843,K03745
contig-100_3_1844,K03775
contig-100_3_1845,K07070
contig-100_3_1846,K11747
contig-100_3_1847,K11748
contig-100_3_1848,K06158
contig-100_3_1849,K03462
contig-100_3_1850,K00948
contig-100_3_1851,K03574
contig-100_3_1852,K07019
contig-100_3_1853,K09898
contig-100_3_1854,K00855
contig-100_3_1855,K07397
contig-100_3_1856,K10914
contig-100_3_1857,
contig-100_3_1858,K00821
contig-100_3_1859,K01664
contig-100_3_1860,K04095
contig-100_3_1861,
contig-100_3_1862,K03767
contig-100_3_1863,K06141
contig-100_3_1864,K00362
contig-100_3_1865,K00363
contig-100_3_1866,K02598
contig-100_3_1867,K02302
contig-100_3_1868,K12516
contig-100_3_1869,
contig-100_3_1870,
contig-100_3_1871,
contig-100_3_1872,K07048
contig-100_3_1873,K01839
contig-100_3_1874,
contig-100_3_1875,
contig-100_3_1876,
contig-100_3_1877,K01867
contig-100_3_1878,K01091
contig-100_3_1879,K01783
contig-100_3_1880,K06223
contig-100_3_1881,K03112
contig-100_3_1882,K01735
contig-100_3_1883,K00891
contig-100_3_1884,K02507
contig-100_3_1885,
contig-100_3_1886,K12289
contig-100_3_1887,K12288
contig-100_3_1888,K05366
contig-100_3_1889,K08312
contig-100_3_1890,
contig-100_3_1891,K20881
contig-100_3_1892,K04762
contig-100_3_1893,K04083
contig-100_3_1894,
contig-100_3_1895,K01610
contig-100_3_1896,K07638
contig-100_3_1897,K07659
contig-100_3_1898,K04760
contig-100_3_1899,K06959
contig-100_3_1900,K04758
contig-100_3_1901,K04759
contig-100_3_1902,K07490
contig-100_3_1903,
contig-100_3_1904,K02170
contig-100_3_1905,
contig-100_3_1906,K07400
contig-100_3_1907,K06155
contig-100_3_1908,K00705
contig-100_3_1909,K00688
contig-100_3_1910,K03556
contig-100_3_1911,K02444
contig-100_3_1912,K02441
contig-100_3_1913,K02439
contig-100_3_1914,K00111
contig-100_3_1915,K00688
contig-100_3_1916,K00703
contig-100_3_1917,K00975
contig-100_3_1918,K02438
contig-100_3_1919,K00700
contig-100_3_1920,K00133
contig-100_3_1921,
contig-100_3_1922,
contig-100_3_1923,K06156
contig-100_3_1924,K00851
contig-100_3_1925,K06145
contig-100_3_1926,K06911
contig-100_3_1927,
contig-100_3_1928,K03825
contig-100_3_1929,
contig-100_3_1930,K00681
contig-100_3_1931,
contig-100_3_1932,K01126
contig-100_3_1933,K05816
contig-100_3_1934,K05815
contig-100_3_1935,K05814
contig-100_3_1936,K05813
contig-100_3_1937,
contig-100_3_1938,K01996
contig-100_3_1939,K01995
contig-100_3_1940,K01998
contig-100_3_1941,K01997
contig-100_3_1942,K01999
contig-100_3_1943,
contig-100_3_1944,K01999
contig-100_3_1945,K03089
contig-100_3_1946,K09811
contig-100_3_1947,K09812
contig-100_3_1948,K03110
contig-100_3_1949,K08316
contig-100_3_1950,K08993
contig-100_3_1951,
contig-100_3_1952,
contig-100_3_1953,K01534
contig-100_3_1954,K04085
contig-100_3_1955,K09125
contig-100_3_1956,
contig-100_3_1957,
contig-100_3_1958,
contig-100_3_1959,
contig-100_3_1960,
contig-100_3_1961,
contig-100_3_1962,
contig-100_3_1963,K02078
contig-100_3_1964,K02078
contig-100_3_1965,
contig-100_3_1966,
contig-100_3_1967,
contig-100_3_1968,
contig-100_3_1969,K07107
contig-100_3_1970,
contig-100_3_1971,
contig-100_3_1972,
contig-100_3_1973,K00647
contig-100_3_1974,
contig-100_3_1975,K00059
contig-100_3_1976,K09458
contig-100_3_1977,K06133
contig-100_3_1978,K13727
contig-100_3_1979,
contig-100_3_1980,K07722
contig-100_3_1981,K01992
contig-100_3_1982,K13926
contig-100_3_1983,K01993
contig-100_3_1984,
contig-100_3_1985,K16322
contig-100_3_1986,K06144
contig-100_3_1987,K06149
contig-100_3_1988,K03305
contig-100_3_1989,
contig-100_3_1990,K03885
contig-100_3_1991,K15984
contig-100_3_1992,K01414
contig-100_3_1993,K07115
contig-100_3_1994,K00383
contig-100_3_1995,K22209
contig-100_3_1996,K21645
contig-100_3_1997,K01424
contig-100_3_1998,K07792
contig-100_3_1999,K10710
contig-100_3_2000,
contig-100_3_2001,K03710
contig-100_3_2002,K00428
contig-100_3_2003,K01194
contig-100_3_2004,
contig-100_3_2005,
contig-100_3_2006,K01185
contig-100_3_2007,
contig-100_3_2008,
contig-100_3_2009,
contig-100_3_2010,K07058
contig-100_3_2011,
contig-100_3_2012,K07290
contig-100_3_2013,K21086
contig-100_3_2014,K00874
contig-100_3_2015,
contig-100_3_2016,
contig-100_3_2017,K11103
contig-100_3_2018,
contig-100_3_2019,
contig-100_3_2020,K01761
contig-100_3_2021,
contig-100_3_2022,
contig-100_3_2023,K12372
contig-100_3_2024,K12371
contig-100_3_2025,K12370
contig-100_3_2026,K12369
contig-100_3_2027,K12368
contig-100_3_2028,K12975
contig-100_3_2029,K08177
contig-100_3_2030,
contig-100_3_2031,K01246
contig-100_3_2032,K03826
contig-100_3_2033,K08351
contig-100_3_2034,
contig-100_3_2035,K02525
contig-100_3_2036,
contig-100_3_2037,K00874
contig-100_3_2038,
contig-100_3_2039,K00090
contig-100_3_2040,
contig-100_3_2041,
contig-100_3_2042,K07726
contig-100_3_2043,K03704
contig-100_3_2044,
contig-100_3_2045,K01879
contig-100_3_2046,K01878
contig-100_3_2047,
contig-100_3_2048,
contig-100_3_2049,
contig-100_3_2050,K00854
contig-100_3_2051,K01805
contig-100_3_2052,K02529
contig-100_3_2053,K03796
contig-100_3_2054,K01176
contig-100_3_2055,K00835
contig-100_3_2056,
contig-100_3_2057,K21602
contig-100_3_2058,K08092
contig-100_3_2059,
contig-100_3_2060,
contig-100_3_2061,
contig-100_3_2062,K00880
contig-100_3_2063,K03078
contig-100_3_2064,K03079
contig-100_3_2065,K03077
contig-100_3_2066,
contig-100_3_2067,K03292
contig-100_3_2068,K09955
contig-100_3_2069,K07274
contig-100_3_2070,
contig-100_3_2071,
contig-100_3_2072,
contig-100_3_2073,K00138
contig-100_3_2074,K13954
contig-100_3_2075,K03833
contig-100_3_2076,K01042
contig-100_3_2077,
contig-100_3_2078,
contig-100_3_2079,
contig-100_3_2080,K02800
contig-100_3_2081,K00009
contig-100_3_2082,K02562
contig-100_3_2083,
contig-100_3_2084,K14762
contig-100_3_2085,K00427
contig-100_3_2086,K14348
contig-100_3_2087,K00101
contig-100_3_2088,K03216
contig-100_3_2089,K00640
contig-100_3_2090,K00057
contig-100_3_2091,K03071
contig-100_3_2092,K03676
contig-100_3_2093,
contig-100_3_2094,K15633
contig-100_3_2095,K22719
contig-100_3_2096,K09798
contig-100_3_2097,K19354
contig-100_3_2098,K00060
contig-100_3_2099,K00639
contig-100_3_2100,K03274
contig-100_3_2101,K02843
contig-100_3_2102,K02841
contig-100_3_2103,K02847
contig-100_3_2104,
contig-100_3_2105,K02849
contig-100_3_2106,K03275
contig-100_3_2107,
contig-100_3_2108,
contig-100_3_2109,K02848
contig-100_3_2110,K02844
contig-100_3_2111,K02527
contig-100_3_2112,K00954
contig-100_3_2113,K10563
contig-100_3_2114,K02913
contig-100_3_2115,K02902
contig-100_3_2116,K03630
contig-100_3_2117,K13038
contig-100_3_2118,K01520
contig-100_3_2119,K05501
contig-100_3_2120,K00762
contig-100_3_2121,K00989
contig-100_3_2122,
contig-100_3_2123,
contig-100_3_2124,
contig-100_3_2125,K01972
contig-100_3_2126,K00942
contig-100_3_2127,K03060
contig-100_3_2128,K01139
contig-100_3_2129,K00556
contig-100_3_2130,K03655
contig-100_3_2131,K03312
contig-100_3_2132,K16345
contig-100_3_2133,
contig-100_3_2134,K09988
contig-100_3_2135,K01624
contig-100_3_2136,K01624
contig-100_3_2137,K02770
contig-100_3_2138,K02769
contig-100_3_2139,K02768
contig-100_3_2140,K02538
contig-100_3_2141,K01811
contig-100_3_2142,K03292
contig-100_3_2143,
contig-100_3_2144,K12678
contig-100_3_2145,
contig-100_3_2146,
contig-100_3_2147,
contig-100_3_2148,K08659
contig-100_3_2149,
contig-100_3_2150,
contig-100_3_2151,
contig-100_3_2152,
contig-100_3_2153,K03566
contig-100_3_2154,
contig-100_3_2155,K02073
contig-100_3_2156,K17463
contig-100_3_2157,K17468
contig-100_3_2158,K17467
contig-100_3_2159,K17466
contig-100_3_2160,K17465
contig-100_3_2161,K17464
contig-100_3_2162,K17473
contig-100_3_2163,
contig-100_3_2164,
contig-100_3_2165,K01223
contig-100_3_2166,K03445
contig-100_3_2167,
contig-100_3_2168,
contig-100_3_2169,
contig-100_3_2170,K07784
contig-100_3_2171,K07783
contig-100_3_2172,K07675
contig-100_3_2173,K07686
contig-100_3_2174,
contig-100_3_2175,K02429
contig-100_3_2176,K00852
contig-100_3_2177,K11534
contig-100_3_2178,K01653
contig-100_3_2179,K01652
contig-100_3_2180,
contig-100_3_2181,
contig-100_3_2182,
contig-100_3_2183,K08154
contig-100_3_2184,
contig-100_3_2185,K13636
contig-100_3_2186,K13629
contig-100_3_2187,K01753
contig-100_3_2188,K06871
contig-100_3_2189,
contig-100_3_2190,K00389
contig-100_3_2191,
contig-100_3_2192,K03307
contig-100_3_2193,
contig-100_3_2194,K07085
contig-100_3_2195,K04081
