locus,1042876.5_PID,1081940.5_PID,1150601.3_PID,1193146.3_PID,1193499.3_PID,1196325.3_PID,1211579.3_PID,1215087.7_PID,1215088.3_PID,1218169.3_PID,1240350.3_PID,1331671.3_PID,1399145.3_PID,1410521.3_PID,1410669.4_PID,1449986.3_PID,160488.4.RefSeq_PID,160488.4_PID,231023.4_PID,303.139_PID,303.140_PID,303.142_PID,303.167_PID,303.169_PID,303.170_PID,303.171_PID,303.172_PID,303.175_PID,303.176_PID,303.177_PID,303.178_PID,303.179_PID,303.180_PID,303.187_PID,303.188_PID,303.189_PID,303.192_PID,303.199_PID,303.200_PID,303.203_PID,303.204_PID,303.209_PID,303.212_PID,303.214_PID,303.215_PID,303.234_PID,303.237_PID,303.397_PID,303.398_PID,303.409_PID,303.410_PID,303.411_PID,303.424_PID,303.425_PID,303.426_PID,303.427_PID,303.429_PID,303.430_PID,303.431_PID,303.432_PID,303.447_PID,303.449_PID,303.450_PID,303.451_PID,303.452_PID,303.453_PID,303.473_PID,303.486_PID,303.487_PID,303.488_PID,303.489_PID,303.490_PID,303.491_PID,303.492_PID,303.493_PID,303.529_PID,303.531_PID,303.532_PID,303.533_PID,303.534_PID,303.535_PID,351746.6_PID,390235.5_PID,76869.5_PID,931281.3_PID,KT2440.csv_PID
PP_0422,97.834,99.639,99.278,99.639,99.278,99.639,98.917,99.278,98.917,,88.849,98.917,91.697,98.195,98.917,98.556,100,99.632,99.278,99.639,88.849,99.639,97.834,98.917,90.647,97.112,88.433,100,99.278,98.917,98.917,98.556,100,91.007,83.582,96.751,96.39,98.556,96.39,92.193,96.39,97.112,97.473,97.112,97.112,98.556,89.552,98.556,86.94,88.433,96.39,99.278,98.917,98.917,91.273,100,98.917,99.278,99.278,99.639,98.917,99.639,88.433,96.751,96.751,89.568,99.639,99.278,88.129,99.278,99.278,99.278,96.029,96.029,99.278,98.917,96.39,99.278,96.39,98.917,96.751,99.639,96.029,98.556,99.278,100
PP_0423,95.299,99.145,99.573,99.145,99.145,99.145,95.726,99.573,94.872,,91.026,95.299,84.052,96.154,95.299,96.154,100,100,99.145,99.145,82.906,99.145,95.299,96.154,,93.162,66.079,100,99.573,99.145,94.872,95.726,100,81.624,,94.444,93.162,95.299,94.872,80.769,94.017,94.017,94.017,94.017,94.017,97.436,66.52,97.436,,65.639,94.444,99.573,99.145,96.154,91.88,100,96.154,98.718,98.718,98.718,95.726,98.718,67.686,95.299,95.299,91.026,99.145,99.145,86.325,99.145,99.145,99.145,92.308,92.308,98.718,96.154,93.162,99.573,94.017,95.726,94.017,99.145,93.162,97.436,99.573,100
PP_0424,98.598,99.533,99.065,99.533,99.065,99.533,98.598,99.065,98.598,,95.327,97.196,89.252,98.598,97.196,98.131,100,100,99.065,99.065,94.86,99.533,98.598,98.598,89.72,94.86,85.981,100,99.065,99.065,98.598,98.598,100,89.72,81.776,92.056,92.056,98.131,94.393,89.72,95.794,94.393,94.393,94.393,94.393,98.598,84.579,98.598,84.579,85.981,96.262,99.065,99.065,98.598,93.925,100,97.664,99.533,99.533,98.598,97.196,99.533,85.047,96.262,95.794,94.86,99.533,99.533,90.187,99.065,99.065,99.065,96.262,96.262,99.533,98.598,94.86,99.065,96.729,98.598,94.86,99.065,93.458,98.598,99.065,100
PP_0425,99.286,100,100,99.286,100,100,100,100,99.286,100,98.571,100,99.286,100,100,100,100,100,100,100,96.429,100,99.286,100,95,100,92.857,100,100,100,99.286,98.571,100,95,89.286,98.571,98.571,100,98.571,95.714,100,98.571,98.571,98.571,98.571,100,92.143,100,91.429,92.857,100,100,100,100,98.571,100,100,100,100,100,100,100,92.857,99.286,98.571,98.571,99.286,100,96.429,100,100,100,99.286,99.286,100,100,100,100,100,100,100,100,100,100,100,100
PP_0426,89.306,98.844,96.821,98.555,97.977,98.555,91.618,96.821,89.306,,82.659,92.197,76.59,89.017,92.197,92.486,100,100,97.977,97.11,73.988,97.977,89.306,91.04,,84.682,,100,96.821,97.11,89.306,90.751,100,74.128,,84.012,83.43,91.618,79.48,74.277,88.728,78.902,78.902,78.902,78.902,91.908,,91.908,,,86.416,96.821,97.11,91.04,81.214,100,93.353,98.266,98.266,98.555,92.486,97.688,,86.127,85.549,82.948,98.555,98.555,76.59,97.688,97.688,97.688,85.838,85.838,98.266,91.618,84.682,96.821,89.118,91.618,84.682,97.11,83.237,91.908,96.821,100
PP_0427,97.209,98.605,99.07,98.605,99.07,98.469,97.674,99.07,97.674,97.209,96.279,98.14,90.233,97.674,98.14,97.674,100,100,99.07,99.07,92.093,98.605,97.209,97.674,90.698,93.953,87.442,100,99.07,99.07,97.674,97.674,100,91.163,82.326,93.953,93.488,97.674,94.419,87.907,96.744,95.349,95.349,95.349,95.349,97.209,86.977,97.674,89.302,87.442,94.419,99.07,99.07,97.674,93.488,100,98.14,98.605,98.605,99.07,98.14,98.605,86.512,96.744,96.279,95.814,98.605,98.605,91.163,99.07,99.07,99.07,94.419,94.419,98.605,97.674,93.953,99.07,96.744,97.674,93.953,99.07,93.953,97.674,99.07,100
PP_0428,90.179,87.5,100,100,100,100,99.107,100,90.179,,85.714,99.107,91.071,90.179,99.107,100,100,100,100,100,86.607,100,90.179,99.107,86.607,87.5,86.607,100,100,100,90.179,100,100,87.5,75,86.607,86.607,99.107,99.107,85.714,88.393,99.107,99.107,99.107,99.107,100,88.393,100,91.071,86.607,100,100,100,99.107,86.607,100,100,100,100,100,99.107,100,89.286,87.5,87.5,87.5,100,100,85.714,100,100,100,99.107,99.107,100,99.107,88.393,100,97.321,99.107,88.393,100,89.286,100,100,100
PP_0429,98.462,98.462,99.615,99.615,99.615,99.231,97.308,100,98.462,,91.154,98.077,93.077,98.077,98.077,98.462,100,100,99.615,99.615,83.594,99.615,98.462,97.308,82.031,91.538,69.732,100,100,99.231,98.462,98.077,100,82.031,66.412,93.846,93.846,97.308,89.615,83.984,96.923,89.231,89.231,89.231,89.231,99.231,71.648,98.846,73.563,70.115,90,100,99.231,97.308,89.231,100,98.077,99.615,99.615,99.615,98.077,99.615,72.414,95.385,95.385,90,99.615,99.615,89.063,99.231,99.231,99.231,90.385,90.385,99.615,97.308,91.154,100,97.692,97.308,91.538,99.615,90.769,98.846,99.615,100
PP_0430,91.509,97.799,99.057,98.113,99.057,98.428,94.654,99.057,92.138,,,93.082,,92.698,93.082,94.025,100,100,99.057,99.057,84.691,98.428,91.509,94.025,84.365,92.138,81.191,100,99.057,98.113,92.138,92.453,100,83.713,78.997,86.792,87.107,94.969,88.889,80.906,,88.889,88.889,88.889,88.889,93.082,81.818,93.082,80.442,81.191,93.082,99.057,98.113,94.025,,100,93.711,98.113,98.113,98.742,92.767,98.428,81.505,90.252,90.566,,98.113,98.742,,97.799,98.113,97.484,91.824,91.824,98.113,94.34,91.509,99.057,,94.654,91.824,99.057,91.824,93.082,99.057,100
PP_0431,95.035,97.163,99.291,98.582,98.582,98.582,93.617,99.291,95.035,95.035,91.489,96.454,97.163,95.035,96.454,94.326,100,100,98.582,98.582,85.816,98.582,95.035,94.326,85.106,95.745,80.282,100,99.291,98.582,95.035,95.745,100,85.106,77.143,91.489,91.489,94.326,97.163,82.979,97.872,97.163,97.163,97.163,97.163,97.163,80.282,97.163,78.873,80.282,95.745,99.291,98.582,94.326,92.908,100,94.326,97.872,97.872,98.582,96.454,97.872,82.394,95.035,95.745,92.908,98.582,98.582,91.489,98.582,98.582,98.582,95.745,95.745,97.872,94.326,95.745,99.291,97.163,93.617,95.745,98.582,96.454,97.163,99.291,100
PP_0432,98.256,99.419,99.128,99.419,99.419,99.419,99.419,99.128,98.256,97.554,98.256,99.419,96.802,97.965,99.419,99.419,100,100,99.419,99.419,95.058,99.419,98.256,99.709,93.023,97.384,91.86,100,99.128,99.128,98.547,99.419,100,92.442,90.407,97.674,97.965,99.709,98.837,93.895,98.837,98.837,98.837,98.837,98.837,99.419,91.279,99.419,,91.86,98.547,99.128,99.128,99.709,98.547,100,99.709,99.419,99.419,99.419,99.419,99.419,91.279,99.128,98.837,98.256,99.419,99.419,97.384,99.128,98.837,99.128,98.256,98.256,99.419,99.709,97.384,99.128,98.837,99.419,97.384,99.419,97.384,99.419,99.128,100
PP_0433,96.97,100,100,100,100,100,98.276,100,96.97,,93.103,100,92.424,96.97,100,98.276,100,100,100,100,90.517,100,96.97,98.276,91.379,96.212,91.379,100,100,100,96.97,99.138,100,91.379,85.345,91.379,91.379,98.276,94.828,89.655,100,94.828,94.828,94.828,94.828,100,92.241,100,84.848,91.379,96.212,100,100,98.276,92.241,100,99.138,100,100,100,100,100,92.241,95.455,96.212,93.103,100,100,90.517,100,100,100,96.212,96.212,100,98.276,96.212,100,100,98.276,96.212,100,95.455,100,100,100
PP_0434,90.083,97.796,96.143,97.796,98.072,97.245,90.083,96.143,91.185,,84.573,92.287,79.063,91.736,92.287,92.011,100,99.72,97.796,98.072,78.788,97.245,90.083,89.807,78.512,86.501,73.829,100,96.143,91.185,91.185,91.185,100,78.237,67.493,83.471,84.848,90.358,82.92,77.961,89.532,82.92,82.92,82.92,82.92,91.185,73.204,90.909,,74.105,88.43,95.868,91.185,90.083,82.645,100,91.185,97.796,97.796,98.072,92.011,97.796,72.099,84.022,84.022,83.747,97.521,97.521,83.196,91.185,91.185,91.185,87.052,87.052,97.796,89.807,87.603,95.868,89.532,90.083,87.603,98.072,87.079,91.185,95.868,100
PP_0435,97.04,99.781,98.52,99.781,99.781,99.781,98.097,98.52,97.252,96.617,90.966,97.463,93.023,96.829,97.463,97.252,100,100,99.781,99.781,83.478,99.561,97.04,98.097,83.932,91.332,78.958,100,98.52,93.869,97.252,98.097,100,83.932,64.301,90.275,89.429,98.309,89.873,81.837,95.56,90.084,90.084,90.084,90.084,97.674,79.114,97.674,,78.958,93.658,98.52,93.869,98.097,88.655,100,97.886,100,100,100,97.463,100,79.958,93.869,93.446,91.614,100,100,89.03,93.869,93.869,93.869,93.869,93.869,99.789,98.097,91.543,98.52,95.983,98.097,91.543,99.781,91.332,97.368,98.246,100
PP_0436,97.494,99.248,100,99.248,99.499,99.499,96.992,100,97.494,,94.236,96.241,93.734,97.494,96.241,96.992,100,100,99.499,99.499,96.491,99.499,97.494,96.992,92.231,95.739,89.975,100,100,97.995,97.494,98.496,100,92.231,87.469,96.742,96.491,96.491,96.241,93.233,96.992,96.992,96.992,96.992,96.992,98.246,90.226,98.246,,90.226,98.747,99.749,97.995,96.992,93.484,100,96.992,99.499,99.499,99.499,95.99,99.499,90.226,97.243,97.494,93.233,99.499,99.499,91.479,97.995,97.995,97.995,98.496,98.496,99.499,96.992,95.739,100,96.992,96.992,95.739,99.499,96.231,98.246,99.749,100
PP_0437,94.357,99.373,98.746,98.983,99.322,98.644,94.915,98.746,94.984,95.873,82.492,95.298,83.699,96.552,95.298,95.932,100,100,99.687,99.322,79.245,98.644,94.357,94.357,75.161,92.163,73.354,100,98.746,98.119,94.984,94.984,100,75.484,,89.969,89.969,95.298,84.639,75.235,94.044,84.639,84.639,84.639,84.639,94.671,72.414,94.671,73.668,73.354,93.73,98.746,98.119,94.044,86.207,100,95.611,99.06,99.06,99.687,95.611,99.06,73.668,94.671,94.984,82.759,99.373,99.06,83.072,98.119,98.433,98.119,92.79,92.79,98.746,94.357,92.79,98.746,94.357,95.611,92.79,99.322,91.589,94.671,98.746,100
PP_0438,94.378,99.197,99.598,99.197,98.795,99.197,94.779,99.598,93.574,,,93.976,84.337,94.378,93.976,93.976,100,100,98.795,98.795,77.912,99.197,94.378,94.779,71.084,89.113,67.871,100,99.598,96.787,93.574,93.976,100,70.683,63.454,84.337,84.337,94.779,84.274,67.871,93.976,84.274,84.274,84.274,84.274,93.976,65.726,93.976,,67.871,90.763,99.598,96.787,94.779,83.936,100,93.976,99.197,99.197,99.197,93.976,99.197,66.129,88.353,88.755,86.29,99.197,99.197,83.133,96.787,96.787,96.787,91.165,91.165,98.795,94.779,89.113,99.598,94.779,94.779,89.113,98.795,87.952,93.976,99.598,100
PP_0439,94.326,97.872,100,97.872,97.872,97.872,95.745,100,95.035,87.05,83.688,95.745,75.887,93.617,95.745,94.326,100,100,97.872,97.163,73.239,97.163,95.035,95.745,64.539,87.234,,100,100,96.454,95.035,95.745,100,65.248,,82.27,81.56,96.454,79.433,60.284,92.199,78.014,78.014,78.014,78.014,94.326,,95.035,,,85.816,100,96.454,95.035,82.979,100,97.163,97.872,97.872,97.163,95.745,97.163,,87.943,87.943,85.816,97.872,97.872,80.851,96.454,96.454,96.454,84.397,84.397,97.872,95.745,87.234,100,90.78,95.745,86.525,97.163,85.816,95.035,100,100
PP_0440,,100,,100,100,100,,100,,,,100,,,,,100,100,100,,,,,,98.741,90.639,,100,99.748,99.74,,,,,87.909,,,,,,,,,,,,,100,96.725,,,100,99.737,,,100,,100,100,100,,100,98.489,,,,100,99.748,,,,,,,100,,100,100,,,100,100,100,100,100,100
PP_0441,98.361,,99.18,,,99.18,,100,98.361,,95.082,,95.082,98.361,,,100,100,,,92.623,99.18,98.361,96.721,90.984,96.721,89.344,100,100,98.361,98.361,98.361,100,91.803,79.508,97.541,97.541,97.541,95.082,87.705,96.721,95.082,95.082,95.082,95.082,97.541,88.525,97.541,90.164,89.344,96.721,99.18,98.361,96.721,94.262,100,97.541,99.18,99.18,99.18,97.541,99.18,86.885,96.721,95.902,94.262,99.18,99.18,94.262,98.361,98.361,98.361,97.541,97.541,99.18,96.721,97.541,100,96.721,97.541,97.541,99.18,97.541,,99.18,100
PP_0442,100,100,100,100,100,100,100,100,100,99.412,99.371,100,100,100,100,99.435,100,100,100,100,98.113,100,100,100,98.305,99.371,96.61,100,100,100,100,100,100,98.305,94.915,99.371,99.435,100,100,100,100,100,100,100,100,100,96.855,100,97.175,96.61,100,100,100,100,99.435,100,100,100,100,100,100,100,97.74,100,100,98.87,100,100,97.74,100,100,100,100,100,100,100,99.435,100,100,100,99.371,100,99.371,100,100,100
PP_0443,100,100,100,100,,100,100,100,100,,,100,99.301,100,100,100,100,100,,,97.203,,100,100,96.503,100,93.706,100,100,100,100,100,100,96.503,94.406,97.902,97.902,100,100,97.203,100,100,100,100,100,100,95.105,100,94.406,93.706,100,100,100,100,97.203,100,100,100,100,100,100,100,95.105,98.601,98.601,97.902,100,100,97.902,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,100
PP_0444,98.701,100,100,100,100,100,97.835,100,98.701,,98.268,98.268,98.701,98.701,98.268,97.403,100,100,100,100,94.348,100,98.701,97.403,94.783,94.348,93.478,100,100,100,98.701,98.701,100,94.783,85.59,99.134,99.134,97.835,99.567,95.217,99.134,99.567,99.567,99.567,99.567,97.835,93.043,97.835,,93.478,99.134,100,100,97.835,97.835,100,97.835,100,100,100,98.268,100,93.043,93.478,93.478,97.835,100,100,93.478,100,100,99.567,99.567,99.567,100,97.835,94.348,100,99.134,97.835,94.348,100,93.913,97.835,100,100
PP_0445,96.386,100,100,100,100,100,98.795,100,96.386,96.386,95.783,99.398,99.398,96.386,99.398,98.795,100,100,100,100,93.373,100,96.386,98.795,91.566,98.193,91.566,100,100,99.398,96.386,99.398,100,91.566,89.157,96.386,96.386,98.795,93.976,95.783,98.795,93.976,93.976,93.976,93.976,100,89.157,100,87.952,90.964,99.398,100,99.398,98.795,95.181,100,100,100,100,100,99.398,100,89.759,95.181,95.181,95.783,100,100,95.181,99.398,99.398,99.398,98.795,98.795,100,98.795,98.193,100,98.193,98.795,98.193,100,98.193,100,100,100
PP_0446,89.431,100,100,100,100,100,99.174,100,89.431,,87.805,99.174,100,89.431,99.174,98.347,100,100,100,100,98.347,100,89.431,99.174,93.388,100,75.207,100,100,100,89.431,100,100,93.388,72.951,90.164,90.164,99.174,97.541,85.366,100,97.541,97.541,97.541,97.541,100,99.174,100,71.074,75.207,100,100,100,99.174,87.805,100,99.174,100,100,100,99.174,100,92.562,99.174,99.174,88.618,100,100,98.347,100,100,100,100,100,100,99.174,100,100,100,99.174,100,100,100,100,100,100
PP_0447,99.705,100,100,100,100,99.853,99.263,100,99.705,,98.284,99.263,98.968,99.632,99.263,98.968,100,100,100,100,96.94,100,99.705,99.263,96.684,99.116,94.989,99.853,100,99.926,99.705,99.558,99.853,96.684,93.22,98.526,98.526,99.263,97.789,98.158,99.41,97.789,97.789,97.789,97.789,99.779,95.357,99.779,93.773,94.989,98.821,99.779,100,99.263,98.6,100,99.189,100,100,100,99.263,100,95.21,98.968,98.968,98.452,100,100,97.273,100,100,100,98.821,98.821,100,99.189,99.116,100,99.337,99.263,99.042,100,99.116,99.779,100,100
PP_0448,99.357,99.786,99.929,99.786,99.857,99.786,98.928,99.929,99.357,,98.856,99.214,99.071,99.214,99.214,98.785,100,100,99.857,99.786,97.999,99.786,99.357,98.928,98.213,98.999,96.64,100,99.929,99.857,99.357,99.786,100,98.284,92.209,98.999,99.285,98.856,99.357,98.213,99.786,99.285,99.357,99.285,99.285,99.285,96.926,99.285,96.14,96.64,98.999,99.857,99.857,98.856,98.928,100,98.856,99.786,99.786,99.857,99.214,99.786,96.855,99.071,99.071,98.999,99.786,99.786,97.999,99.857,99.857,99.857,99.071,99.071,99.786,98.928,98.999,99.929,99.786,98.928,98.999,99.786,99.071,99.285,99.929,100
PP_0449,99.187,100,100,100,100,100,100,100,99.187,99.187,99.187,100,100,99.187,100,100,100,100,100,100,99.187,100,99.187,100,99.187,100,99.187,100,100,100,99.187,100,100,99.187,95.122,100,100,100,100,99.187,100,100,100,100,100,100,99.187,100,98.374,99.187,100,100,100,100,99.187,100,100,100,100,100,100,100,99.187,100,100,99.187,100,100,99.187,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.187,100,100
PP_0450,100,100,100,100,100,100,98.413,100,100,,100,100,100,100,100,98.413,100,100,100,100,98.718,100,100,98.718,98.718,100,96.795,100,100,100,100,100,100,98.718,94.231,100,100,98.718,100,99.359,100,100,100,100,100,100,95.541,100,96.795,96.795,100,100,100,98.718,100,100,98.718,100,100,100,100,100,96.178,98.718,98.718,100,100,100,98.718,100,100,100,99.359,99.359,100,98.718,100,100,100,98.718,100,100,100,100,100,100
PP_0451,96.643,100,100,100,100,100,95.105,100,97.902,,95.385,95.105,94.527,96.503,94.965,93.007,100,100,100,100,94.083,100,96.643,95.105,93.566,94.965,85.056,100,100,97.343,97.902,95.524,100,93.566,89.51,99.86,95.385,95.105,95.385,93.846,95.385,95.385,95.385,95.385,95.385,94.965,84.916,94.965,83.939,85.056,95.385,100,97.343,95.105,94.545,100,95.105,100,100,100,95.105,100,85.056,94.126,94.126,95.944,100,100,93.846,97.203,97.343,97.343,95.105,95.105,100,95.105,94.965,100,95.385,95.105,94.965,100,95.105,94.675,100,100
PP_0452,99.748,,100,,,,,99.748,99.747,,,,,,,,100,100,,,98.741,,99.496,98.966,,,98.741,99.748,99.748,,99.735,,,,,,99.721,,99.748,99.496,99.465,99.748,99.496,99.748,99.748,,,,,98.741,100,100,,,99.225,100,98.489,,,,98.992,,,98.992,98.992,98.741,,,,,,,100,100,,98.992,,100,100,98.992,,,,,100,100
PP_0453,98.936,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.029,99.029,99.029,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
PP_0454,99.526,100,100,100,100,100,,100,99.5,99.5,99.5,99.526,99.5,99.526,99.526,,100,100,100,100,95.5,100,99.526,99.526,94.787,98.104,93.839,100,100,100,99.526,99.526,100,94.787,90.047,99.052,99.052,99.526,99.526,97.156,100,99.526,99.526,99.526,99.526,100,93.365,100,93.839,93.839,98.578,100,100,99.526,99.052,100,99.526,100,100,100,99.526,100,93.365,98.104,98.104,99.526,100,100,98.578,100,100,100,98.578,98.578,100,99.526,98.104,100,100,99.526,98.104,100,98.104,100,100,100
PP_0455,99.5,100,100,100,100,100,,100,99.5,,98.5,100,100,99.5,100,,100,100,100,100,97,100,99.5,100,97,100,93.5,100,100,100,99.5,100,100,97,85,99.5,99.5,100,99,99,100,99,99,99,99,100,93.5,100,93,93.5,99,100,100,100,98.5,100,99.5,100,100,100,100,100,93.5,100,100,98.5,100,100,96,100,100,100,99,99,100,100,100,100,100,100,100,100,100,100,100,100
PP_0456,100,100,100,100,100,100,100,100,100,,100,100,100,100,100,100,100,100,100,100,98.99,100,100,100,92.929,100,90.909,100,100,100,100,100,100,92.929,82.828,100,100,100,100,92.929,100,100,100,100,100,100,90.909,100,90.909,90.909,100,100,100,100,100,100,100,100,100,100,100,100,90.909,100,100,100,100,100,98.99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
PP_0457,99.635,100,100,100,100,100,98.905,100,99.635,,99.27,98.905,99.635,99.635,98.905,98.905,100,100,100,100,98.175,100,99.635,98.905,98.175,99.27,96.715,100,100,100,99.635,100,100,98.175,91.241,99.635,99.635,98.905,98.905,98.175,100,98.905,98.905,98.905,98.905,98.905,96.715,98.905,96.35,96.715,100,100,100,98.905,98.905,100,98.905,100,100,100,98.905,100,96.35,99.27,99.27,99.27,100,100,98.175,100,100,100,100,100,100,98.905,99.27,100,100,98.905,99.27,100,99.27,98.905,100,100
PP_0458,100,100,100,100,100,100,100,100,100,100,98.901,100,100,100,100,98.901,100,100,100,100,97.802,100,100,100,97.802,100,97.802,100,100,100,100,100,100,97.802,95.604,100,100,100,98.901,97.802,100,98.901,98.901,98.901,98.901,100,95.604,100,97.802,97.802,100,100,100,100,98.901,100,98.901,100,100,100,100,100,96.703,100,100,98.901,100,100,97.802,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
PP_0459,98.913,,100,,,,,100,,,98.913,,,100,,,100,100,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.091,100,100,100,100,100,100,100,100,100,100,100,100,,,,,100
PP_0460,100,100,100,100,100,100,100,100,100,100,100,100,99.561,100,100,100,100,100,100,100,97.368,100,100,100,97.368,100,96.93,100,100,100,100,100,100,97.368,95.614,99.561,99.561,100,100,99.123,100,100,100,100,100,100,96.491,100,96.491,96.93,100,100,100,100,100,100,100,100,100,100,100,100,96.491,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
PP_0461,100,100,100,100,100,100,100,100,100,100,98.4,100,100,100,100,100,100,100,100,100,,100,100,100,100,100,98.54,100,100,100,100,100,100,100,94.891,98.54,98.54,100,98.54,98.54,100,98.54,98.54,98.54,98.54,100,98.54,100,96.35,98.54,100,100,100,100,98.54,100,100,100,100,100,100,100,98.54,100,100,98.54,100,100,98.54,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
PP_0462,100,100,100,100,100,100,100,100,100,98.214,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,96.825,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
PP_0463,100,100,100,100,100,100,97.727,100,100,100,97.727,97.727,97.727,100,97.727,97.727,100,100,100,100,96.591,100,100,97.727,97.727,98.864,95.455,100,100,100,100,100,100,97.727,87.5,100,100,97.727,97.727,98.864,97.727,97.727,97.727,97.727,97.727,98.864,94.318,98.864,95.455,95.455,98.864,100,100,97.727,98.864,100,97.727,100,100,100,97.727,100,94.318,100,100,97.727,100,100,97.727,100,100,100,98.864,98.864,100,97.727,98.864,100,97.727,97.727,98.864,100,98.864,98.864,100,100
PP_0464,100,100,100,100,100,100,100,100,100,100,99.18,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.18,100,100,100,100,100,100,100,100,98.361,99.18,99.18,100,99.18,98.361,99.18,99.18,99.18,99.18,99.18,100,100,100,100,100,99.18,100,100,100,99.18,100,100,100,100,100,100,100,100,100,100,99.18,100,100,99.18,100,100,100,99.18,99.18,100,100,99.18,100,99.18,100,99.18,100,99.18,100,100,100
PP_0465,98.077,100,100,100,100,100,100,100,98.077,89.109,98.077,100,100,98.077,100,100,100,100,100,100,97.115,100,98.077,100,96.154,100,96.154,100,100,100,98.077,99.038,100,96.154,90.385,100,100,100,100,97.115,100,100,100,100,100,100,96.154,100,95.192,96.154,100,100,100,100,98.077,100,99.038,100,100,100,100,100,96.154,100,100,98.077,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
PP_0466,99.441,100,100,100,100,100,100,100,99.441,99.351,96.104,100,99.441,99.441,100,100,100,100,100,100,95.455,100,99.441,100,96.089,98.883,94.972,100,100,100,99.441,100,100,96.089,93.855,98.883,98.883,100,100,96.648,100,100,100,100,100,100,94.972,100,,94.972,100,100,100,100,96.648,100,100,100,100,100,100,100,94.972,100,100,96.089,100,100,97.207,100,100,100,100,100,100,100,98.883,100,100,100,98.883,100,98.883,100,100,100
PP_0467,99.01,100,100,100,100,100,99.01,100,99.01,,99.01,99.01,97.03,99.01,99.01,99.01,100,100,100,100,93.069,100,99.01,99.01,91.089,99.01,88.119,100,100,100,99.01,99.01,100,91.089,86.139,98.02,98.02,99.01,99.01,98.02,99.01,99.01,99.01,99.01,99.01,98.02,88.119,98.02,88.119,88.119,99.01,100,100,99.01,99.01,100,99.01,100,100,100,99.01,100,88.119,99.01,99.01,99.01,100,100,97.03,100,100,100,99.01,99.01,100,99.01,99.01,100,99.01,99.01,99.01,100,99.01,98.02,100,100
PP_0468,97.115,100,100,100,100,100,100,100,97.115,,98.077,100,99.231,97.692,100,100,100,100,100,100,92.308,100,97.692,100,93.846,99.231,93.077,100,100,100,97.692,97.692,100,93.846,87.692,96.154,96.923,100,97.692,94.615,97.692,97.692,97.692,97.692,97.692,100,93.077,100,90.769,93.077,98.462,100,100,100,97.692,100,100,100,100,100,100,100,92.308,99.231,99.231,97.692,100,100,96.154,100,100,100,100,100,100,100,99.231,100,97.692,100,99.231,100,99.231,100,100,100
PP_0469,99.435,99.342,100,100,99.342,100,99.342,100,99.435,,97.74,99.342,99.435,99.435,99.342,99.342,100,99.342,99.342,99.342,96.045,99.342,99.435,100,96.045,99.435,95.48,100,100,100,99.435,99.435,100,96.045,90.395,96.61,96.61,100,99.435,96.61,99.435,99.435,99.435,99.435,99.435,100,96.045,100,95.48,95.48,98.87,100,100,100,97.175,100,100,100,100,100,100,100,94.915,99.435,99.435,98.305,100,100,100,100,100,100,97.74,97.74,100,100,99.435,100,99.435,100,99.435,99.342,99.435,99.342,100,100
PP_0470,98.98,100,100,100,100,100,100,100,98.98,98.98,97.414,100,100,98.276,100,100,100,100,100,100,98.276,100,98.276,100,98.276,99.138,94.828,100,100,100,98.276,99.138,100,98.276,90.816,97.414,97.414,100,98.276,98.276,99.138,98.276,98.276,98.276,98.276,100,94.828,100,93.103,94.828,100,100,100,100,98.276,100,100,100,100,100,100,100,94.828,99.138,99.138,97.414,100,100,98.276,100,100,100,100,100,100,100,99.138,100,99.138,100,99.138,100,100,100,100,100
PP_0471,100,100,100,100,100,100,100,100,100,100,99.398,100,100,100,100,100,100,100,100,100,98.182,100,100,100,96.97,100,96.386,100,100,100,100,99.398,100,96.97,93.373,98.193,98.193,100,100,98.193,100,100,100,100,100,100,95.758,100,95.181,96.386,100,100,100,100,99.398,100,100,100,100,100,100,100,95.181,100,100,99.398,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
